,fact,value
1,DBK-BS_CONS_LOAN,205331
2,DBK-BS_COMM_LOAN,235915
3,DBK-BS_TOT_LOAN,447017
4,DBK-BS_CUSTOMER_DEPOSITS,568031
5,DBK-CUR_MKT_CAP,22445.15620266
6,DBK-EFF_RATIO,88.735987953823
7,DBK-NET_INCOME,495
8,DBK-NET_REV,26711
9,DBK-PX_TO_TANG_BV_PER_SH,0.450448420692131
10,DBK-BS_TIER_1_CAP_RATIO_FULLY_LOADED,15.3
11,DBK-BS_TOT_ASSET,1325259
12,GLE-BS_CONS_LOAN,417970
13,GLE-BS_COMM_LOAN,NA
14,GLE-BS_TOT_LOAN,451494
15,GLE-BS_CUSTOMER_DEPOSITS,450523
16,GLE-CUR_MKT_CAP,24342.42186635
17,GLE-EFF_RATIO,75.58449780672
18,GLE-NET_INCOME,-258
19,GLE-NET_REV,25725
20,GLE-PX_TO_TANG_BV_PER_SH,0.424277938743296
21,GLE-BS_TIER_1_CAP_RATIO_FULLY_LOADED,15.7
22,GLE-BS_TOT_ASSET,1461952
23,BNP-BS_CONS_LOAN,829656
24,BNP-BS_COMM_LOAN,NA
25,BNP-BS_TOT_LOAN,839577
26,BNP-BS_CUSTOMER_DEPOSITS,939916
27,BNP-CUR_MKT_CAP,70601.12071089
28,BNP-EFF_RATIO,68.1964991530209
29,BNP-NET_INCOME,7067
30,BNP-NET_REV,48012
31,BNP-PX_TO_TANG_BV_PER_SH,0.735230347539742
32,BNP-BS_TIER_1_CAP_RATIO_FULLY_LOADED,14.2
33,BNP-BS_TOT_ASSET,2488491
34,SAN-BS_CONS_LOAN,791664
35,SAN-BS_COMM_LOAN,73710
36,SAN-BS_TOT_LOAN,904092
37,SAN-BS_CUSTOMER_DEPOSITS,849310
38,SAN-CUR_MKT_CAP,48389.059553231
39,SAN-EFF_RATIO,55.3385583965052
40,SAN-NET_INCOME,-8771
41,SAN-NET_REV,49707
42,SAN-PX_TO_TANG_BV_PER_SH,0.699461314552745
43,SAN-BS_TIER_1_CAP_RATIO_FULLY_LOADED,13.95
44,SAN-BS_TOT_ASSET,1508250
45,ACA-BS_CONS_LOAN,380578
46,ACA-BS_COMM_LOAN,NA
47,ACA-BS_TOT_LOAN,411805
48,ACA-BS_CUSTOMER_DEPOSITS,717868
49,ACA-CUR_MKT_CAP,38019.471661336
50,ACA-EFF_RATIO,62.8829268292683
51,ACA-NET_INCOME,2692
52,ACA-NET_REV,26958
53,ACA-PX_TO_TANG_BV_PER_SH,0.765394539062718
54,ACA-BS_TIER_1_CAP_RATIO_FULLY_LOADED,14.2
55,ACA-BS_TOT_ASSET,1961062
56,INGA-BS_CONS_LOAN,384131
57,INGA-BS_COMM_LOAN,173121
58,INGA-BS_TOT_LOAN,603331
59,INGA-BS_CUSTOMER_DEPOSITS,609642
60,INGA-CUR_MKT_CAP,48199.590243184
61,INGA-EFF_RATIO,63.4739058676228
62,INGA-NET_INCOME,2485
63,INGA-NET_REV,19074
64,INGA-PX_TO_TANG_BV_PER_SH,0.889322958648421
65,INGA-BS_TIER_1_CAP_RATIO_FULLY_LOADED,17.31
66,INGA-BS_TOT_ASSET,937275
67,UCG-BS_CONS_LOAN,220365
68,UCG-BS_COMM_LOAN,NA
69,UCG-BS_TOT_LOAN,429831
70,UCG-BS_CUSTOMER_DEPOSITS,459944
71,UCG-CUR_MKT_CAP,24839.15318416
72,UCG-EFF_RATIO,75.7463119990707
73,UCG-NET_INCOME,-2785
74,UCG-NET_REV,18430
75,UCG-PX_TO_TANG_BV_PER_SH,0.469711064789858
76,UCG-BS_TIER_1_CAP_RATIO_FULLY_LOADED,NA
77,UCG-BS_TOT_ASSET,931456
78,BBVA-BS_CONS_LOAN,175024
79,BBVA-BS_COMM_LOAN,118410
80,BBVA-BS_TOT_LOAN,323184
81,BBVA-BS_CUSTOMER_DEPOSITS,341916
82,BBVA-CUR_MKT_CAP,32372.5893459
83,BBVA-EFF_RATIO,48.6711210096511
84,BBVA-NET_INCOME,1305
85,BBVA-NET_REV,22062
86,BBVA-PX_TO_TANG_BV_PER_SH,0.758708856123555
87,BBVA-BS_TIER_1_CAP_RATIO_FULLY_LOADED,13.62
88,BBVA-BS_TOT_ASSET,736176
89,JPM-BS_CONS_LOAN,511605
90,JPM-BS_COMM_LOAN,501248
91,JPM-BS_TOT_LOAN,1012853
92,JPM-BS_CUSTOMER_DEPOSITS,2144257
93,JPM-CUR_MKT_CAP,476418.44169381
94,JPM-EFF_RATIO,55.5647252023574
95,JPM-NET_INCOME,29131
96,JPM-NET_REV,119543
97,JPM-PX_TO_TANG_BV_PER_SH,2.33552199901501
98,JPM-BS_TIER_1_CAP_RATIO_FULLY_LOADED,15.8
99,JPM-BS_TOT_ASSET,3386071
100,BAC-BS_CONS_LOAN,428796
101,BAC-BS_COMM_LOAN,499065
102,BAC-BS_TOT_LOAN,937104
103,BAC-BS_CUSTOMER_DEPOSITS,1795480
104,BAC-CUR_MKT_CAP,367383.53219648
105,BAC-EFF_RATIO,64.1810129377986
106,BAC-NET_INCOME,17894
107,BAC-NET_REV,85528
108,BAC-PX_TO_TANG_BV_PER_SH,2.08037786026235
109,BAC-BS_TIER_1_CAP_RATIO_FULLY_LOADED,14.6
110,BAC-BS_TOT_ASSET,2819627
111,WFC-BS_CONS_LOAN,409220
112,WFC-BS_COMM_LOAN,478417
113,WFC-BS_TOT_LOAN,924021
114,WFC-BS_CUSTOMER_DEPOSITS,1404381
115,WFC-CUR_MKT_CAP,195015.54485197
116,WFC-EFF_RATIO,79.1457804023896
117,WFC-NET_INCOME,3301
118,WFC-NET_REV,72340
119,WFC-PX_TO_TANG_BV_PER_SH,1.37405395700368
120,WFC-BS_TIER_1_CAP_RATIO_FULLY_LOADED,13.66
121,WFC-BS_TOT_ASSET,1955163
122,C-BS_CONS_LOAN,288839
123,C-BS_COMM_LOAN,387044
124,C-BS_TOT_LOAN,720689
125,C-BS_CUSTOMER_DEPOSITS,1280671
126,C-CUR_MKT_CAP,126616.09252059
127,C-EFF_RATIO,58.1051979864868
128,C-NET_INCOME,11047
129,C-NET_REV,74298
130,C-PX_TO_TANG_BV_PER_SH,0.805635520100573
131,C-BS_TIER_1_CAP_RATIO_FULLY_LOADED,13.31
132,C-BS_TOT_ASSET,2260090
133,HSBA-BS_CONS_LOAN,460809
134,HSBA-BS_COMM_LOAN,591668
135,HSBA-BS_TOT_LOAN,1052477
136,HSBA-BS_CUSTOMER_DEPOSITS,1642780
137,HSBA-CUR_MKT_CAP,88119.001367256
138,HSBA-EFF_RATIO,68.278173273315
139,HSBA-NET_INCOME,5229
140,HSBA-NET_REV,53606
141,HSBA-PX_TO_TANG_BV_PER_SH,0.749042376644256
142,HSBA-BS_TIER_1_CAP_RATIO_FULLY_LOADED,18.5
143,HSBA-BS_TOT_ASSET,2984164
144,STAN-BS_CONS_LOAN,118741
145,STAN-BS_COMM_LOAN,138590
146,STAN-BS_TOT_LOAN,288312
147,STAN-BS_CUSTOMER_DEPOSITS,439339
148,STAN-CUR_MKT_CAP,13123.2056042
