,fact,value
1,DBK-BS_CONS_LOAN,205331
2,DBK-BS_COMM_LOAN,235915
3,DBK-BS_TOT_LOAN,447017
4,DBK-BS_CUSTOMER_DEPOSITS,568031
5,GLE-BS_CONS_LOAN,417970
6,GLE-BS_COMM_LOAN,NA
7,GLE-BS_TOT_LOAN,451494
8,GLE-BS_CUSTOMER_DEPOSITS,450523
9,JPM-BS_CONS_LOAN,511605
10,JPM-BS_COMM_LOAN,501248
11,JPM-BS_TOT_LOAN,1012853
12,JPM-BS_CUSTOMER_DEPOSITS,2144257
13,BAC-BS_CONS_LOAN,428796
14,BAC-BS_COMM_LOAN,499065
15,BAC-BS_TOT_LOAN,937104
16,BAC-BS_CUSTOMER_DEPOSITS,1795480
17,HSBA-BS_CONS_LOAN,460809
18,HSBA-BS_COMM_LOAN,591668
19,HSBA-BS_TOT_LOAN,1052477
20,HSBA-BS_CUSTOMER_DEPOSITS,1642780
21,STAN-BS_CONS_LOAN,118741
22,STAN-BS_COMM_LOAN,138590
23,STAN-BS_TOT_LOAN,288312
24,STAN-BS_CUSTOMER_DEPOSITS,439339
